,Airline,Date_of_Journey,Source,Destination,Route,Total_Stops,Additional_Info,Price,journey_year,journey_month,journey_day,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,duration_hr
157,IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,non-stop,No info,8855,2019,3,3,18,55,21,45,2
158,Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,12,5,16,30,18,15,25
159,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,17024,2019,6,3,2,15,4,25,26
160,Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,9314,2019,1,5,9,35,14,25,28
161,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,non-stop,No info,4777,2019,3,24,0,40,3,25,2
162,Air India,2019-09-06,Kolkata,Banglore,CCU → BBI → BLR,1 stop,No info,7662,2019,9,6,12,0,13,15,25
163,IndiGo,2019-09-05,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6442,2019,9,5,6,50,16,10,9
164,SpiceJet,2019-12-06,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,5264,2019,12,6,8,45,13,15,4
165,Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,12898,2019,5,27,13,0,4,25,15
166,Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,6092,2019,3,3,13,55,15,25,1
167,SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,non-stop,No info,3311,2019,5,21,5,55,8,35,2
168,Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,6540,2019,3,27,19,15,4,25,9
169,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,non-stop,No info,3419,2019,5,27,1,30,4,15,2
170,Jet Airways,2019-03-04,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,5177,2019,3,4,14,0,12,35,22
171,Air India,2019-04-18,Delhi,Cochin,DEL → COK,non-stop,No info,8246,2019,4,18,18,5,21,10,3
172,Jet Airways,2019-09-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,14676,2019,9,6,9,35,21,5,11
173,Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13587,2019,6,27,11,30,21,0,9
174,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,21,10,9,20,12
175,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,13044,2019,12,6,16,30,10,5,17
176,IndiGo,2019-03-04,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,5073,2019,3,4,20,25,1,30,5
177,Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,1 stop,No info,9345,2019,5,21,17,0,18,50,25
178,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,14,5,10,5,20
179,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,14277,2019,5,21,8,0,21,0,13
180,Jet Airways,2019-01-06,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,1,6,10,0,4,25,18
181,Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,non-stop,No info,5678,2019,3,27,19,35,21,5,1
182,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,13727,2019,5,15,16,0,1,30,9
183,Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,9663,2019,6,5,20,0,12,0,16
184,IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,non-stop,No info,3858,2019,12,5,14,45,17,5,2
185,SpiceJet,2019-06-24,Delhi,Cochin,DEL → PNQ → COK,1 stop,No info,4812,2019,6,24,8,45,13,15,4
186,IndiGo,2019-06-27,Delhi,Cochin,DEL → LKO → COK,1 stop,No info,5775,2019,6,27,21,50,3,35,5
187,Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1 stop,In-flight meal not included,10539,2019,6,6,9,35,9,45,24
188,IndiGo,2019-03-06,Kolkata,Banglore,CCU → BLR,non-stop,No info,4804,2019,3,6,15,30,18,5,2
189,Air Asia,2019-12-06,Banglore,Delhi,BLR → DEL,non-stop,No info,3383,2019,12,6,11,10,13,55,2
190,IndiGo,2019-03-03,Banglore,New Delhi,BLR → HYD → DEL,1 stop,No info,8738,2019,3,3,12,10,17,5,4
191,Air India,2019-03-27,Delhi,Cochin,DEL → TRV → COK,1 stop,No info,7165,2019,3,27,5,15,6,50,25
192,IndiGo,2019-06-24,Delhi,Cochin,DEL → HYD → COK,1 stop,No info,6412,2019,6,24,16,10,22,30,6
193,Jet Airways,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,No info,8016,2019,6,27,18,55,22,0,3
194,Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,1 stop,In-flight meal not included,11087,2019,12,3,20,35,15,15,18
195,SpiceJet,2019-06-27,Chennai,Kolkata,MAA → CCU,non-stop,No check-in baggage included,3543,2019,6,27,9,45,12,0,2
196,Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,12471,2019,12,6,16,30,4,40,12
197,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1 stop,In-flight meal not included,10262,2019,6,24,9,0,4,25,19
198,Air India,2019-03-18,Banglore,New Delhi,BLR → DEL,non-stop,No info,4441,2019,3,18,13,20,16,10,2
199,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,12537,2019,3,27,7,5,15,30,8
200,GoAir,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1 stop,No info,10091,2019,3,24,22,25,7,40,9
201,Air India,2019-03-06,Banglore,Delhi,BLR → DEL,non-stop,No info,6961,2019,3,6,21,5,23,55,2
202,IndiGo,2019-04-24,Delhi,Cochin,DEL → COK,non-stop,No info,5013,2019,4,24,5,35,8,50,3
203,Air India,2019-05-18,Delhi,Cochin,DEL → COK,non-stop,No info,6934,2019,5,18,5,10,8,0,2
204,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,10877,2019,3,6,6,40,19,0,12
205,Jet Airways,2019-04-18,Banglore,Delhi,BLR → DEL,non-stop,No info,7229,2019,4,18,15,15,18,10,2
206,IndiGo,2019-03-27,Delhi,Cochin,DEL → BOM → COK,1 stop,No info,7048,2019,3,27,16,0,1,35,9
207,Vistara,2019-06-27,Banglore,Delhi,BLR → DEL,non-stop,No info,4878,2019,6,27,17,0,19,35,2
208,Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,1 stop,In-flight meal not included,10844,2019,5,21,14,5,23,35,9
